id,name,date,director,actor,language
1000727,RRR,2022.0,S. S. Rajamouli,N.T. Rama Rao Jr.,Telugu
1002302,3 Idiots,2009.0,Rajkumar Hirani,Aamir Khan,Hindi
1002674,Pather Panchali,1955.0,Satyajit Ray,Subir Banerjee,"Bengali, Bangla"
1004125,Apur Sansar,1959.0,Satyajit Ray,Soumitra Chatterjee,"Bengali, Bangla"
1004403,Like Stars on Earth,2007.0,Aamir Khan,Darsheel Safary,Hindi
1004520,Aparajito,1956.0,Satyajit Ray,Karuna Banerjee,"Bengali, Bangla"
1004704,The Lunchbox,2013.0,Ritesh Batra,Irrfan Khan,Hindi
1005048,Dangal,2016.0,Nitesh Tiwari,Aamir Khan,Hindi
1005120,Om Shanti Om,2007.0,Farah Khan,Shah Rukh Khan,Hindi
1005458,Jawan,2023.0,Atlee,Shah Rukh Khan,Hindi
1005529,12th Fail,2023.0,Vidhu Vinod Chopra,Vikrant Massey,Hindi
1005632,PK,2014.0,Rajkumar Hirani,Aamir Khan,Hindi
1005823,Laapataa Ladies,2023.0,Kiran Rao,Nitanshi Goel,Hindi
1006058,Bāhubali: The Beginning,2015.0,S. S. Rajamouli,Prabhas,Telugu
1006110,Andhadhun,2018.0,Sriram Raghavan,Ayushmann Khurrana,Hindi
1006190,Dilwale Dulhania Le Jayenge,1995.0,Aditya Chopra,Kajol,Hindi
1006204,Kabhi Khushi Kabhie Gham,2001.0,Karan Johar,Shah Rukh Khan,Hindi
1006301,The Big City,1963.0,Satyajit Ray,Madhabi Mukherjee,"Bengali, Bangla"
1006344,Gangubai Kathiawadi,2022.0,Sanjay Leela Bhansali,Alia Bhatt,Hindi
1006362,Animal,2023.0,Sandeep Reddy Vanga,Ranbir Kapoor,Hindi
1006379,Zindagi Na Milegi Dobara,2011.0,Zoya Akhtar,Hrithik Roshan,Hindi
1006418,The Elephant Whisperers,2022.0,Kartiki Gonsalves,Bomman,Tamil
