Title,Rating,Budget,Box Office,category
Wings,7.5,2000000,3600000,picture
The Broadway Melody,5.6,379000,4358000,picture
All Quiet on the Western Front,7.8,20000000,0,picture
Cimarron,5.8,1433000,1383000,picture
Grand Hotel,7.3,700000,2594000,picture
Cavalcade,5.8,1180280,7630000,picture
It Happened One Night,8.1,325000,4500000,picture
Mutiny on the Bounty,7.6,1950000,4460000,picture
The Great Ziegfeld,6.6,2183000,4673000,picture
The Life of Emile Zola,7.1,0,0,picture
You Can't Take It with You,7.8,1644736,7433101,picture
Gone with the Wind,8.2,4000000,402352579,picture
Rebecca,8.1,0,0,picture
How Green Was My Valley,7.7,1250000,6000000,picture
Mrs. Miniver,7.6,1344000,13500000,picture
Casablanca,8.5,0,0,picture
Going My Way,7.0,0,16300000,picture
The Lost Weekend,7.9,1250000,11000000,picture
The Best Years of Our Lives,8.1,2100000,23650000,picture
Gentleman's Agreement,7.2,2000000,7800000,picture
Hamlet,7.7,2000000,1568749,picture
All the King's Men,6.1,0,0,picture
All about Eve,8.2,1400000,8400000,picture
An American in Paris,7.1,22000000,26570463,picture
The Greatest Show on Earth,6.5,4000000,36000000,picture
From Here to Eternity,7.6,1650000,30500000,picture
On the Waterfront,8.1,910000,960000,picture
Marty,7.7,343000,3000000,picture
Around the World in 80 Days,5.9,0,0,picture
The Bridge on the River Kwai,8.1,3000000,44908000,picture
Gigi,6.6,3319355,13200000,picture
Ben-Hur,8.1,100000000,94061311,picture
The Apartment,8.3,3000000,25000000,picture
West Side Story,7.6,100000000,76016171,picture
Lawrence of Arabia,8.3,15000000,69995385,picture
Tom Jones,6.4,1000000,37600000,picture
My Fair Lady,7.7,17000000,72661442,picture
The Sound of Music,8.1,8200000,286214286,picture
A Man for All Seasons,7.7,0,0,picture
In the Heat of the Night,7.9,2000000,27379978,picture
Oliver!,7.4,0,0,picture
Midnight Cowboy,7.8,3600000,44785053,picture
Patton,7.9,12000000,89800000,picture
The French Connection,7.7,1800000,41200000,picture
The Godfather,9.2,6000000,245066411,picture
The Sting,8.3,5500000,159616327,picture
The Godfather Part II,9.0,13000000,102600000,picture
One Flew over the Cuckoo's Nest,8.7,3000000,108981275,picture
Rocky,8.1,1000000,225253184,picture
Annie Hall,7.9,4000000,38288028,picture
The Deer Hunter,8.1,15000000,49000000,picture
Kramer vs. Kramer,7.8,8000000,106260000,picture
Ordinary People,7.7,0,0,picture
Chariots of Fire,7.1,5500000,58972904,picture
Gandhi,8.0,22000000,77737889,picture
Terms of Endearment,7.4,8000000,108423749,picture
Amadeus,8.4,18000000,90007557,picture
Out of Africa,7.1,31000000,227514205,picture
Platoon,8.1,6000000,138530565,picture
The Last Emperor,7.7,23800000,44000000,picture
Rain Man,8.0,25000000,354825435,picture
Driving Miss Daisy,7.3,0,0,picture
Dances With Wolves,8.0,22000000,424208848,picture
The Silence of the Lambs,8.6,19000000,272742922,picture
Unforgiven,8.2,14400000,159157447,picture
Schindler's List,9.0,22000000,321365567,picture
Forrest Gump,8.8,55000000,677387716,picture
Braveheart,8.3,72000000,213216216,picture
The English Patient,7.4,27000000,231976425,picture
Titanic,7.9,200000000,2264162353,picture
Shakespeare in Love,7.1,25000000,289300000,picture
American Beauty,8.3,15000000,356296601,picture
Gladiator,8.5,0,900000,picture
A Beautiful Mind,8.2,58000000,316800000,picture
Chicago,7.2,45000000,306776732,picture
The Lord of the Rings: The Return of the King,9.0,94000000,1118888979,picture
Million Dollar Baby,8.1,30000000,216763646,picture
Crash,7.7,6500000,98400000,picture
The Departed,8.5,90000000,291465000,picture
No Country for Old Men,8.2,25000000,171627166,picture
Slumdog Millionaire,8.0,15000000,378400000,picture
The Hurt Locker,7.5,15000000,49259766,picture
The King's Speech,8.0,15000000,414211549,picture
The Artist,7.8,15000000,133432856,picture
